Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
"Acciuga sott'olio, sgocciolata",Pesce/Pesci di mare,per 100 g di parte edibile,765,182,8.5,2.9,3.4,1.3,76,0.2,0.1,0.0,0.0,26.4,12.0,0.0,55.1,12,12,12,0,0,0.04,0.25,0.37,20.9,3.9,16.0,0.63,0.5,1.7,250.0,4970.0,0.0,290.0,230.0,280.0,2.7,30.0,1.7,0.0
Aceto,"Diversi/Sale, spezie e aromi",per 100 ml,93,22,0.0,0.0,0.0,0.0,0,0.7,0.3,0.0,0.0,0.1,0.0,0.1,93.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.7,0.1,7.0,7.7,12.0,0.2,5.0,0.2,0.0
Aceto balsamico,"Diversi/Sale, spezie e aromi",per 100 g di parte edibile,544,128,0.6,0.0,0.0,0.0,0,25.8,19.1,0.0,0.5,0.7,0.1,0.0,70.3,1,0,0,5,5,0.02,0.01,1.71,0.0,0.1,5.5,0.07,0.5,0.3,160.0,27.0,20.0,18.0,12.0,24.0,1.0,20.0,0.1,20.0
Acqua potabile (valori medi in Svizzera),Bevande analcoliche/Acqua potabile,per 100 ml,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
"Acquavite 40 % vol (Vodka, Gin)",Bevande alcoliche/Spiritosi,per 100 ml,920,222,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,63.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0
Acquavite di canna da zucchero (p.es. Rum),Bevande alcoliche/Spiritosi,per 100 ml,920,222,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,63.2,0,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,0.0,0.0,0.0,4.8,0.1,0.0,0.1,0.0
"Acquavite di cereali, 40% vol (p.es. Whisky)",Bevande alcoliche/Spiritosi,per 100 ml,972,234,0.0,0.0,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,0.0,33.4,61.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,0.0,1.9,1.0,4.8,0.0,0.0,0.0,0.0
Acquavite di ciliegie (Kirsch),Bevande alcoliche/Spiritosi,per 100 ml,964,233,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,61.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0
"Acquavite di vino (p.es. Cognac, brandy)",Bevande alcoliche/Spiritosi,per 100 ml,944,228,0.0,0.0,0.0,0.0,0,1.9,1.9,0.0,0.0,0.0,0.0,31.4,61.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Affettati (media),Prodotti carnei e insaccati/Salsicce scottate,per 100 g di parte edibile,1140,276,24.2,9.1,11.3,2.3,59,0.7,0.7,0.0,0.0,13.9,2.0,0.0,61.2,3,3,3,2,2,0.29,0.13,0.15,0.91,2.96,1.9,0.42,26.8,0.5,120.0,790.0,1110.0,8.1,12.0,160.0,0.8,0.9,1.5,0.0
Agar Agar,Diversi/Gelificanti e leganti,per 100 g di parte edibile,641,160,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,74.1,2.4,0.3,0.0,20.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,130.0,0.0,660.0,100.0,34.0,4.5,0.0,1.5,0.0
